id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,5650608.88,111072546477624,1,118707979377444,4122925793251,5746182.0,5512276.0,74293.0,1.33229,1470836060339.0,1.34198,19649256.0,21000000.0,21000000.0,5746182.0,-1.67465,2024-03-08T20:05:03.481Z,3993.42,141381.6013,2013-07-05T00:00:00.000Z,,2024-03-09T10:51:06.722Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,324078.41,38919902272241,2,38919902272241,2064548617757,330779.0,317361.0,-2927.842503299529,-0.89535,-358030487852.33594,-0.91153,120105182.893931,120105182.893931,,362338.0,-10.60403,2021-11-10T14:24:19.604Z,28.13,1151345.70413,2015-10-20T00:00:00.000Z,"{'times': 75.68450638084495, 'currency': 'btc', 'percentage': 7568.450638084495}",2024-03-09T10:51:16.976Z
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,82.96,8432618799668,3,8432618799668,6298423280261,83.39,82.21,0.150553,0.18182,54450919195.0,0.64991,101592333005.466,101592333005.466,,91.22,-9.00707,2018-07-24T00:00:00.000Z,36.86,125.19211,2015-03-02T00:00:00.000Z,,2024-03-09T10:50:33.052Z
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,40479.68,6230606797126,4,6230606797126,340355365171,40689.0,38395.0,1430.72,3.66392,217459844180.0,3.61641,153856150.0,153856150.0,200000000.0,50351.0,-19.74756,2021-05-10T07:24:17.097Z,2.58,1563226.74104,2017-10-19T00:00:00.000Z,,2024-03-09T10:51:07.543Z
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,12158.77,5379954439807,5,6936931788085,447969734457,12604.84,11826.42,31.97,0.26364,-11367161456.036133,-0.21084,443126076.289886,571368289.292577,,19286.66,-37.06088,2021-11-06T21:54:35.825Z,38.03,31822.75992,2020-05-11T19:35:23.449Z,,2024-03-09T10:51:26.573Z
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,323653.67,3190917613720,6,3190917613720,3197409112,329940.0,318122.0,-2972.087952709524,-0.90994,-26262807355.085938,-0.81633,9856706.28556605,9856706.28556605,,358528.0,-9.69665,2021-11-10T14:40:47.256Z,35697.0,806.97565,2020-12-22T04:08:21.854Z,,2024-03-09T10:51:13.003Z
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,51.46,2814615813418,7,5141462028934,168221599687,52.41,50.05,-0.3882924507306953,-0.74884,-28555506491.20166,-1.00435,54736825690.0,99987824103.0,100000000000.0,215.1,-76.09351,2018-01-07T00:00:00.000Z,0.159343,32172.48666,2013-08-16T00:00:00.000Z,,2024-03-09T10:51:21.780Z
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,82.75,2481055455742,8,2481061250181,742155344543,83.33,81.98,0.04376294,0.05291,41537256215.0,1.70268,29974574304.6847,29974644309.5066,,87.19,-5.01902,2020-03-13T02:35:16.858Z,65.31,26.8048,2021-05-19T13:14:05.611Z,,2024-03-09T10:51:03.246Z
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,60.24,2120249179292,9,2712429557889,74071348812,61.23,58.34,-0.5947175170827563,-0.97759,-20621054522.071533,-0.96321,35175554251.9648,45000000000.0,45000000000.0,225.26,-73.2657,2021-09-02T06:00:10.474Z,1.38,4278.47683,2017-11-02T00:00:00.000Z,,2024-03-09T10:51:19.298Z
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,13.7,1961799413830,10,1961800371509,320490977086,14.38,13.28,-0.21682561042195303,-1.55809,-22264970649.789062,-1.12219,143394526383.705,143394596383.705,,53.62,-74.48785,2021-05-08T05:08:23.458Z,0.00552883,247312.64541,2015-05-06T00:00:00.000Z,,2024-03-09T10:50:57.695Z
